 "こんにちは and welcome to yuyo learning world :) _ [you can click text to skip]", "this is the best website for learning Japanese with its frendly design", "And me :D , yuyo (有用) which actually translates to helpful or useful", "here in Yuyo Learning World you can go through all the nesessary lessons for learning Japanese including N-level lessons from JPLT", "and whilst you have some downtime between lessons you can play against me in a traditional Japanese Game of Koi-Koi", "or you can listen to one of my fravorite Japanese jazz albums which i think you will really like", "Thank you for choosing me to help you learn Japanese and I hope you have a fun time in Yuyo Learning World", "when you're ready you can head back to the subjects by pressing the text on the left"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
 "test1", "test2", "test3", "test4"
